Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Ghana,GHA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,4.11037015914917,..,5.35444021224976,..,..,7.53558015823364,7.42208003997803,5.14794015884399,5.51986980438232,5.75795984268188,5.31744003295898,5.54059982299805,8.14097023010254,7.91913986206055,4.57644987106323,4.39978981018066,4.43404006958008,4.3945198059082,3.53362989425659,3.8861300945282,3.15307114842573,3.40915991351725,3.4005042684722,2.90963831638452,..
Ghana,GHA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,-2.58274442252544,-0.295056372526511,-6.64888661831335,-2.96844596153396,-0.479490498459366,-2.01481743321334,-2.04089618350197,-9.11671919702909,-1.33190207064851,-5.24644160221648,-4.48668370565029,3.14347674592202,0.345835227133681,1.08689277098812,6.96417668395359,4.04526991213825,5.28386131277051,-6.59865292121464,-8.15961596313803,-2.98226895492248,-8.67824981037558,-10.1047524483796,-8.68590166944275,3.5629332816197,3.40955189880886,6.36166323453558,5.95114424495493,2.78809823977692,8.03844541943396,5.54828569417505,14.5722836672982,4.45094717226065,..,..
Ghana,GHA,"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,..,..,..,36.2,..,..,..,37.3,33.7,..,..,..,..,38.4,..,..,29.7,..,30.1,..,..,25.3,..,..,20.4,..,..,19.5,..,..,..,..,19.4,..
Ghana,GHA,"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,..,..,..,29.3,..,..,..,32.2,27.7,..,..,..,..,32.6,..,..,26,..,26.6,..,..,20.3,..,..,17,..,..,15.6,..,..,..,..,15.3,..
Ghana,GHA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,25.1,..,..,..,22.2,20.1,..,..,..,..,19,..,..,13.9,..,14.4,..,..,13.4,..,..,11.2,..,..,12.6,..,..,..,..,12,..
Ghana,GHA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,14.8,13.4,12.6,12,11.1,10.4,9.2,8.1,6.9,6.9,7.3,7.7,8,8.7,9.4,9.5,8.8,7.5,6.6,5.7,5.6,5.9,6.3
Ghana,GHA,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.2,..,..,..,..
Ghana,GHA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,282.129,282.817,282.633,283.432,285.273,282.6,280.232,278.049,275.945,273.37,271.772,270.688,268.795,266.697,264.373,262.205,259.4,256.523,253.393,249.879,245.388,241.037,236.862,232.21,226.458,223.143,219.336,215.996,212.035,207.625,207.404,215.759,196.339,192.754
Ghana,GHA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,328.451,324.602,320.513,317.659,322.388,315.021,312.626,310.562,309.228,308.116,307.049,306.609,305.503,304.116,302.722,299.949,297.213,295.518,294.77,292.738,291.317,291.391,289.244,286.622,283.965,281.229,278.572,276.379,274.447,272.585,278.413,286.666,268.829,267.399
Ghana,GHA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,72.7,70.9,69.6,68.8,68.3,67.8,67.3,66.5,65.2,63.7,61.7,59.7,57.8,56.2,54.7,53.4,52.1,50.7,49.2,47.5,45.8,44,42.3,40.7,39.3,37.9,36.6,35.4,34.1,32.9,31.7,30.5,29.4,28.4
Ghana,GHA,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,66.2,64.4,63.1,62.2,61.7,61.2,60.7,59.9,58.8,57.2,55.4,53.6,51.8,50.1,48.7,47.4,46.2,45,43.6,42.1,40.5,38.9,37.4,36,34.7,33.5,32.3,31.1,30,28.9,27.8,26.8,25.8,24.9
Ghana,GHA,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,79,77.2,75.9,75.1,74.5,74.1,73.5,72.6,71.3,69.7,67.7,65.6,63.6,61.9,60.4,59.1,57.7,56.2,54.5,52.7,50.8,48.8,47,45.2,43.6,42.2,40.7,39.4,38,36.6,35.3,34,32.8,31.7
Ghana,GHA,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,42,41.2,40.5,40,39.4,38.9,38.2,37.5,36.8,36,35.2,34.4,33.7,33.1,32.5,32.1,31.6,31.1,30.6,29.9,29,28.1,27.1,26.1,25.2,24.3,23.4,22.6,21.8,21,20.4,19.7,19.2,18.7
Ghana,GHA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,127.6,123.5,120.2,117.8,116,114.4,112.5,110.3,107.4,103.9,99.9,95.8,91.9,88.2,85,82,79.1,76.2,73.1,69.8,66.5,63.3,60.3,57.5,54.9,52.5,50.3,48.2,46.1,44.1,42.2,40.3,38.6,37.2
Ghana,GHA,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,119.9,115.6,112.3,109.9,108.1,106.5,104.7,102.4,99.6,96.1,92.3,88.2,84.4,80.8,77.5,74.6,71.8,69.1,66.1,63.1,60,57,54.2,51.7,49.3,47.1,45,43,41.1,39.3,37.5,35.8,34.3,33
Ghana,GHA,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,135,130.9,127.7,125.4,123.5,121.8,120,117.7,114.8,111.3,107.2,103,99,95.4,92,89.1,86.1,82.9,79.6,76.2,72.7,69.3,66,63,60.3,57.7,55.4,53.1,50.9,48.6,46.5,44.6,42.8,41.2
Ghana,GHA,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,..,..,..,74.6,74.6652145385742,75.3336563110352,75.9894561767578,76.6294631958008,82.4,77.8511276245117,80.5,78.9,79.5,76.9,80.7,78.4,80.7,82.7,84.8,84.2,72.8,85,86.8,88.5,90.8,88.4,89.8,90,89.9,93.8,94.6,95.2,95,97.5
Ghana,GHA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,..,..,..,2.88737399274898,1.58188327755997,3.69449260642638,5.84076189699466,8.02875403552628,13.2811809712728,12.5339851120814,14.9,17.4,19.8,24,24.7,7.9,31.4,32.4,36.8,37.9,55.4,42,23.6,50.8,64,57,66.6,65.3,68.3,70,73.1,74,71.6,77.8
Ghana,GHA,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,30.6,30.36940574646,32.4504508972168,34.5287704467773,36.6036949157715,42.6,40.7405395507813,43.7,44.8,46.8,48.3,50.8,41.3,55.1,56.9,60.5,61.1,64.2,64.1,56.5,70.7,78.3,74,79.3,79,80.4,83.5,85.4,86.3,85.1,89.5
Nigeria,NGA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.549233086121929,0.534206768008091,0.470742539133469,0.436954905120644,0.393045646249364,0.396354013591345,0.419998493796127,0.358479005206684,0.35963763718498,0.381919104397325,0.348516707890877,0.319069049792343
Nigeria,NGA,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,38.9317093352279,40.1399834792844,31.0524950878661,18.4801443990806,20.744425584784,23.0356597033777,19.5706403529071,23.6848007209971,20.6942836250646,32.8702439317873,32.9447550187037,18.2732056803632,17.2936729031185,14.1344219189278,16.0146827057849,21.3500423524933,35.9554554325786,13.3448989000262,18.410682725576,14.490853363554,10.2444010102375,9.34861932837115,19.0398374024628,6.04901848644182,10.32182372585,6.48748993142931,5.49591883975005,6.83651910420336,6.21102341179283,9.51700587318642,16.6445439721868,20.5520616576926,..,..
Nigeria,NGA,"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,49.7,..,..,..,..,..,..,..,..,..,..,..,..,45.7,..,..,..,..,..,..,..,36.8,..,..,35.4,35.6,45.7,..,39.4,..,36.1,35,..,..
Nigeria,NGA,"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,47.7,..,..,..,..,..,..,..,..,..,..,..,..,39.4,..,..,..,..,..,..,..,34.9,..,..,31.7,30.4,41.4,..,34.1,..,26.9,32.5,..,..
Nigeria,NGA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,33.1,..,..,35.1,..,..,..,..,..,..,..,..,..,26.7,..,..,..,..,..,..,..,24.2,..,..,20.6,19.5,31.5,..,21.8,..,18.4,24.4,..,..
