Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Senegal,SEN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,..,..,18.7325401306152,16.8203601837158,17.6184902191162,15.7297401428223,16.7219200134277,16.1175098419189,16.9622497558594,21.7709693908691,17.9546394348144,..,19.2261390686035,23.3004493713379,2.51060009002686,21.0869693756104,20.7952499389648,25.7423496246338,24.8013095855713,23.7782707214356,21.3373699188232,21.1016902923584,22.6592807769775,14.6931200027466,19.216739654541,16.6768703460693,16.4915504455566,22.5471709472248
Senegal,SEN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,3.47941335332437,2.97448608270871,2.51291189730901,-1.46534472858508,1.30723431657839,2.19481799824077,0.964234446213065,2.54716901616844,2.38295889550228,2.61131638951557,2.02844063694095,6.14020057978315,4.40657611648151,6.33380369286755,5.6349599628983,8.11217555137945,5.93290797420671,8.1993199987805,8.5486312848346,8.50834472402821,10.1483498471887,6.56363058356269,7.34601527979814,8.18257271499971,11.8103823776685,13.1399235811818,14.0140179343795,16.5602428434455,16.5961981221663,..,..,..,..,..
Senegal,SEN,"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,..,..,..,32.4,..,..,30.3,..,..,..,29.1,..,..,..,..,20.9,..,..,..,..,..,28.2,17.3,17.9,15.3,19.5,19.4,18,21.7,18.9,..,..,..,18.5
Senegal,SEN,"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,..,..,..,27.3,..,..,26.1,..,..,..,22.8,..,..,..,..,18.9,..,..,..,..,..,25.1,13.6,15,13.1,15.5,14.7,15,15.9,16.8,..,..,..,16.4
Senegal,SEN,"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,..,34.4,..,29.8,..,..,28.2,..,..,..,26,..,..,..,..,19.9,..,..,..,..,..,26.7,15.5,16.5,14.2,17.5,17.1,16.5,18.8,17.9,..,..,..,17.5
Senegal,SEN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,21.1,20,18.6,17.1,15.8,14.6,12.2,10.9,10.3,10.9,11.1,11.3,11.2,11.1,10,8.9,8,7.1,6.2,5.3,5.2,5.1,5.1
Senegal,SEN,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.7,..,..,..,..
Senegal,SEN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,289.969,285.532,283.031,282.724,278.501,280.039,281.119,284.771,288.391,284.966,289.478,287.972,284.266,283.13,275.165,269.225,263.054,253.284,250.567,250.144,246.143,241.048,237.354,233.849,229.715,223.166,219.984,216.818,213.918,211.564,216.375,238.2,220.003,203.192
Senegal,SEN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,226.56,222.753,219.884,218.825,217.324,221.043,226.999,228.477,232.261,233.636,230.179,226.077,218.532,216.248,211.013,208.127,200.956,192.997,188.522,180.534,177.596,171.338,168.001,164.784,162.916,160.068,159.496,156.309,153.062,149.901,149.198,165.122,151.223,138.533
Senegal,SEN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,73,72.6,72.9,73.7,74.7,75.7,76.6,77.2,77.1,76.1,74,70.6,66.4,61.9,57.5,53.5,50.1,47.3,44.9,43.1,41.5,40.3,39.3,38.5,37.8,37.3,36.8,36.3,35.7,34.8,33.7,32.5,31.2,30
Senegal,SEN,"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,79.2,78.8,79.2,80,81.2,82.3,83.4,84.2,84.2,83.2,81.2,77.7,73.3,68.5,63.9,59.6,55.9,52.9,50.4,48.4,46.8,45.4,44.3,43.4,42.6,42.1,41.5,40.9,40.1,39.2,37.9,36.6,35.2,33.8
